X_Coordinate(nm),Y_Coordinate(nm),Cr_Composition
0,0,1
0.125,0,1
0.25,0,1
0.375,0,1
0.5,0,1
0.625,0,1
0.75,0,1
0.875,0,1
1,0,1
1.125,0,1
1.25,0,1
1.375,0,1
1.5,0,1
1.625,0,1
1.75,0,1
1.875,0,1
2,0,1
2.125,0,1
2.25,0,1
2.375,0,1
2.5,0,1
2.625,0,1
2.75,0,1
2.875,0,1
3,0,1
3.125,0,1
3.25,0,1
3.375,0,1
3.5,0,1
3.625,0,1
3.75,0,1
3.875,0,1
4,0,1
4.125,0,1
4.25,0,1
4.375,0,1
4.5,0,1
4.625,0,1
4.75,0,1
4.875,0,1
5,0,1
5.125,0,1
5.25,0,1
5.375,0,1
5.5,0,1
5.625,0,1
5.75,0,1
5.875,0,1
6,0,1
6.125,0,1
6.25,0,1
6.375,0,1
6.5,0,1
6.625,0,1
6.75,0,1
6.875,0,1
7,0,1
7.125,0,1
7.25,0,1
7.375,0,1
7.5,0,1
7.625,0,1
7.75,0,1
7.875,0,1
8,0,1
8.125,0,1
8.25,0,1
8.375,0,1
8.5,0,1
8.625,0,1
8.75,0,1
8.875,0,1
9,0,1
9.125,0,1
9.25,0,1
9.375,0,1
9.5,0,1
9.625,0,1
9.75,0,1
9.875,0,1
10,0,1
10.125,0,1
10.25,0,1
10.375,0,1
10.5,0,1
10.625,0,1
10.75,0,1
10.875,0,1
11,0,1
11.125,0,1
11.25,0,1
11.375,0,1
11.5,0,1
11.625,0,1
11.75,0,1
11.875,0,1
12,0,1
12.125,0,1
12.25,0,1
12.375,0,1
12.5,0,1
12.625,0,1
12.75,0,1
12.875,0,1
13,0,1
13.125,0,1
13.25,0,1
13.375,0,1
13.5,0,1
13.625,0,1
13.75,0,1
13.875,0,1
14,0,1
14.125,0,1
14.25,0,1
14.375,0,1
14.5,0,1
14.625,0,1
14.75,0,1
14.875,0,1
15,0,1
15.125,0,1
15.25,0,1
15.375,0,1
15.5,0,1
15.625,0,1
15.75,0,1
15.875,0,1
16,0,1
16.125,0,1
16.25,0,1
16.375,0,1
16.5,0,1
16.625,0,1
16.75,0,1
16.875,0,1
17,0,1
17.125,0,0.996396431221214
17.25,0,0.98364542815415
17.375,0,0.969036906293012
17.5,0,0.952948619916935
