"Points:0","Points:1","Points:2","c"
0,0,0,1.0346
0.125,0,0,1.0346
0.12581,0.12582,0,1.0346
0,0.125,0,1.0346
0.25,0,0,1.0346
0.25143,0.12631,0,1.0346
0.12627,0.25145,0,1.0346
0,0.25,0,1.0346
0.25238,0.25246,0,1.0346
0.375,0,0,1.0346
0.37695,0.12672,0,1.0346
0.5,0,0,1.0346
0.5024,0.12709,0,1.0346
0.37835,0.25331,0,1.0346
0.50423,0.25406,0,1.0346
0.12664,0.37698,0,1.0346
0,0.375,0,1.0346
0.25313,0.37849,0,1.0346
0.12695,0.50245,0,1.0346
0,0.5,0,1.0346
0.25377,0.50444,0,1.0346
0.37948,0.37977,0,1.0346
0.50573,0.38091,0,1.0346
0.38045,0.50614,0,1.0346
0.50702,0.50767,0,1.0346
0.625,0,0,1.0345
0.6278,0.12743,0,1.0345
0.75,0,0,1.0345
0.75316,0.12774,0,1.0345
0.63003,0.25474,0,1.0346
0.75576,0.25537,0,1.0345
0.875,0,0,1.0345
0.8785,0.12803,0,1.0345
1,0,0,1.0345
1.0038,0.1283,0,1.0345
0.88144,0.25596,0,1.0345
1.0071,0.2565,0,1.0345
0.63188,0.38195,0,1.0346
0.75796,0.3829,0,1.0345
0.63349,0.50906,0,1.0346
0.75988,0.51034,0,1.0346
0.88397,0.38379,0,1.0345
1.0099,0.38461,0,1.0345
0.88619,0.51152,0,1.0345
1.0124,0.51263,0,1.0345
1.125,0,0,1.0345
1.1291,0.12855,0,1.0345
1.25,0,0,1.0345
1.2544,0.12879,0,1.0345
1.1327,0.25701,0,1.0345
1.2583,0.25749,0,1.0345
1.375,0,0,1.0344
1.3797,0.12901,0,1.0345
1.5,0,0,1.0344
1.5049,0.12922,0,1.0344
1.3838,0.25794,0,1.0345
1.5094,0.25837,0,1.0345
1.1358,0.38538,0,1.0345
1.2617,0.3861,0,1.0345
1.1386,0.51366,0,1.0345
1.2648,0.51462,0,1.0345
1.3875,0.38678,0,1.0345
1.5133,0.38742,0,1.0345
1.3909,0.51553,0,1.0345
1.5169,0.5164,0,1.0345
1.625,0,0,1.0344
1.6302,0.12943,0,1.0344
1.75,0,0,1.0344
1.7554,0.12963,0,1.0344
1.6349,0.25878,0,1.0344
1.7604,0.25918,0,1.0344
1.875,0,0,1.0344
1.8807,0.12982,0,1.0344
2,0,0,1.0344
2.0059,0.13002,0,1.0344
1.8859,0.25957,0,1.0344
2.0114,0.25996,0,1.0344
1.6391,0.38804,0,1.0344
1.7649,0.38864,0,1.0344
1.643,0.51723,0,1.0345
1.769,0.51803,0,1.0344
1.8907,0.38923,0,1.0344
2.0164,0.38982,0,1.0344
1.895,0.51882,0,1.0344
2.021,0.5196,0,1.0344
2.125,0,0,1.0344
2.1312,0.13021,0,1.0344
2.25,0,0,1.0343
2.2564,0.13041,0,1.0344
2.1369,0.26034,0,1.0344
2.2624,0.26073,0,1.0344
2.375,0,0,1.0343
2.3817,0.1306,0,1.0343
2.5,0,0,1.0343
2.5069,0.13081,0,1.0343
2.3879,0.26113,0,1.0344
2.5134,0.26154,0,1.0343
2.1422,0.3904,0,1.0344
2.2679,0.39098,0,1.0344
2.147,0.52038,0,1.0344
2.2729,0.52116,0,1.0344
2.3936,0.39158,0,1.0344
2.5193,0.39219,0,1.0344
2.3989,0.52196,0,1.0344
2.5248,0.52277,0,1.0344
2.625,0,0,1.0343
2.6322,0.13101,0,1.0343
2.75,0,0,1.0343
2.7574,0.13123,0,1.0343
2.6388,0.26195,0,1.0343
2.7643,0.26238,0,1.0343
2.875,0,0,1.0343
2.8827,0.13145,0,1.0343
3,0,0,1.0343
3.0079,0.13168,0,1.0343
2.8898,0.26283,0,1.0343
3.0152,0.26329,0,1.0343
2.645,0.39282,0,1.0343
2.7707,0.39346,0,1.0343
2.6507,0.52361,0,1.0344
2.7766,0.52448,0,1.0343
2.8964,0.39413,0,1.0343
3.022,0.39483,0,1.0343
2.9025,0.52537,0,1.0343
3.0283,0.5263,0,1.0343
3.125,0,0,1.0343
3.1331,0.13192,0,1.0343
3.25,0,0,1.0342
3.2583,0.13217,0,1.0343
3.1407,0.26377,0,1.0343
3.2661,0.26426,0,1.0343
3.375,0,0,1.0342
3.3836,0.13242,0,1.0342
