time,active_time,area_h,evaluations,iterations,nodes,step_size,von_mises
0,0,2491.7905080814,0,0,0,0,0
31.25,375.003375198,2493.7671700635,253,43,160801,31.25,0.246967188566
39.0625,635.840855145,2493.7611446347,435,24,160801,7.8125,0.25286898289561
54.6875,699.676107361,2493.7398856144,478,41,160801,15.625,0.27317282953232
62.5,888.985140797,2493.7250624477,610,26,160801,7.8125,0.28706891006317
70.3125,1009.304980417,2493.705824712,693,29,160801,7.8125,0.30468595300733
78.125,1130.887828887,2493.6808153438,778,31,160801,7.8125,0.32686487803755
85.9375,1253.598655861,2493.6481770099,863,31,160801,7.8125,0.35467179102542
93.75,1376.548735091,2493.6053473672,949,32,160801,7.8125,0.38949683790728
101.5625,1503.608025057,2493.5487408983,1037,34,160801,7.8125,0.43319769419526
109.375,1635.364612586,2493.4732450634,1129,38,160801,7.8125,0.48839257105296
117.1875,1774.169953775,2493.3713983482,1225,42,160801,7.8125,0.55892350465663
125,1919.133955118,2493.2320006485,1326,47,160801,7.8125,0.65067131395975
128.90625,2120.145980856,2493.1465934364,1466,34,160801,3.90625,0.70499826152079
132.8125,2250.447409132,2493.0459406593,1557,37,160801,3.90625,0.76779148244769
136.71875,2384.517767935,2492.9266650882,1649,38,160801,3.90625,0.84096889897953
140.625,2518.308416592,2492.7844431956,1742,39,160801,3.90625,0.92705390403814
144.53125,2656.210763756,2492.6136800923,1837,41,160801,3.90625,1.0294049296045
148.4375,2795.862931234,2492.4070548735,1934,43,160801,3.90625,1.1525584275775
152.34375,2936.74881612,2492.1548804165,2031,43,160801,3.90625,1.302725009345
156.25,3079.312423665,2491.8441989701,2130,45,160801,3.90625,1.4885231028409
160.15625,3226.008770011,2491.4575070971,2231,47,160801,3.90625,1.7220635489706
162.109375,3422.641236743,2491.2330991647,2369,32,160801,1.953125,1.8589340280123
164.0625,3548.057936628,2490.9812880743,2456,33,160801,1.953125,2.0138967790187
166.015625,3673.732620968,2490.6979735948,2544,34,160801,1.953125,2.1900548537284
167.96875,3802.057446993,2490.37837747,2633,35,160801,1.953125,2.3911166780221
169.921875,3929.2131063,2490.0169411215,2722,35,160801,1.953125,2.6214973706021
171.875,4060.490871132,2489.6072186144,2813,37,160801,1.953125,2.8864510860606
173.828125,4193.466640082,2489.1417708959,2906,39,160801,1.953125,3.1922000608858
175.78125,4327.69789686,2488.6120707551,2999,39,160801,1.953125,3.5460726236562
177.734375,4462.151018174,2488.0084317819,3093,40,160801,1.953125,3.9566272940031
179.6875,4599.259443897,2487.3199780604,3188,41,160801,1.953125,4.4337435267283
181.640625,4736.651425347,2486.5346729284,3284,42,160801,1.953125,4.9886255588845
183.59375,4876.679894689,2485.6394229692,3381,43,160801,1.953125,5.633748778883
185.546875,5018.413215933,2484.6202654185,3480,45,160801,1.953125,6.3826202996398
187.5,5161.381561089,2483.4626325283,3579,45,160801,1.953125,7.2494369295498
189.453125,5307.550477465,2482.1516678676,3681,48,160801,1.953125,8.248544790258
190.4296875,5509.73624253,2481.4407557579,3822,35,160801,0.9765625,8.7968196019035
191.40625,5638.346667704,2480.6867444247,3912,36,160801,0.9765625,9.3825986651908
193.359375,5713.981623445,2479.0266384249,3963,49,160801,1.953125,10.685151682232
194.3359375,5918.594338652,2478.1320603852,4105,36,160801,0.9765625,11.392754423945
